3,16,Hitotsu-me Giant
8,1,Mushroom Man
10,16,Blackland Fire Dragon
23,16,The Wicked Worm Beast
25,16,Horn Imp
28,8,Rock Ogre Grotto #1
30,12,Zombie Warrior
34,12,Saggi the Dark Clown
40,8,Dragon Piper
50,1,Basic Insect
53,72,Killer Needle
56,32,Larvae Moth
59,8,Mammoth Graveyard
60,8,Great White
61,8,Wolf
64,8,Tiger Axe
65,8,Silver Fang
72,32,Cocoon of Evolution
75,1,Man-eating Plant
76,12,Krokodilus
80,12,Uraby
103,12,Job-change Mirror
109,16,Goddess with the Third Eye
110,12,Hero of the East
112,16,That Which Feeds on Life
115,8,Kamion Wizard
116,1,Nightmare Scorpion
118,8,Supporter in the Shadows
119,16,Trial of Nightmares
120,12,Dream Clown
121,8,Sleeping Lion
123,1,Dark Plant
132,12,The 13th Grave
138,8,Dragon Statue
140,8,Toad Master
141,24,Spiked Snail
146,16,Temple of Skulls
153,12,Dokuroizo the Grim Reaper
157,1,Firegrass
158,1,Man Eater
162,12,Tainted Wisdom
164,12,Lord of Zemia
165,12,The Judgement Hand
169,8,Dark King of the Abyss
171,16,Big Eye
172,8,Armaill
180,2,Arlownay
181,8,Dark Shade
196,16,Arma Knight
201,16,Frenzied Panda
209,1,Winged Cleaver
219,12,Solitude
220,12,Masked Sorcerer
221,48,Kumootoko
225,16,Fiend Sword
231,8,Wood Clown
233,8,Dark Titan of Terror
234,8,Beautiful Headhuntress
235,12,Wodan the Resident of the Forest
236,16,Guardian of the Labyrinth
238,1,Yashinoki
241,8,Dark Assailant
246,12,One Who Hunts Souls
248,16,Master & Expert
250,8,Hyo
251,12,Enchanting Mermaid
252,8,Nekogal #1
256,16,Dimensional Warrior
257,8,Stone Armadiller
258,12,Beastking of the Swamps
259,12,Ancient Sorcerer
262,12,The Little Swordsman of Aile
263,12,Rock Ogre Grotto #2
269,8,Versago the Destroyer
272,16,Mavelus
273,48,Ancient Tree of Enlightenment
274,48,Green Phantom King
276,8,Ray & Temperature
278,1,Petit Moth
280,12,Protector of the Throne
284,12,Tao the Chanter
288,8,Dark Artist
290,12,Moon Envoy
291,12,Fireyarou
293,16,Masaki the Legendary Swordsman
294,12,Dragoness the Wicked Knight
296,8,One-eyed Shield Dragon
299,12,Sonic Maid
305,50,Laser Cannon Armor
306,50,Insect Armor with Laser Cannon
330,48,Forest
354,12,Stuffed Animal
361,16,Flying Penguin
363,8,Fairy's Gift
367,48,Jirai Gumo
381,8,Toon Alligator
397,1,Leghul
406,12,Yaiba Robo
414,12,Shovel Crusher
430,8,Water Magician
431,12,Ice Water
435,16,Water Girl
445,12,Guardian of the Sea
450,12,Kappa Avenger
455,12,Barrel Rock
457,16,Stone Ghost
474,8,Sea Kamen
476,1,Ganigumo
477,1,Alinsection
478,2,Insect Soldiers of the Sky
479,1,Cockroach Knight
480,48,Kuwagata a
485,1,Korogashi
488,1,Rainbow Flower
489,1,Barrel Lily
496,16,Wilmee
499,1,Kattapillar
501,1,Man-eater Bug
502,8,D. Human
506,1,Gale Dogra
510,1,Laughing Flower
514,12,Brave Scizzar
534,1,Minar
543,16,Tongyo
546,16,Wow Warrior
547,1,Griggle
550,12,Behegon
552,16,Winged Dragon #2
553,12,Mushroom Man #2
560,12,Invader from Another Dimension
561,16,Lesser Dragon
562,1,Needle Worm
566,12,Yormungarde
567,48,Darkworld Thorns
570,12,Trakadon
574,12,Witch of the Black Forest
576,48,Giant Scorpion of the Tundra
579,1,Abyss Flower
580,8,Patrol Robo
584,12,Binding Chain
588,24,Living Vase
589,1,Tentacle Plant
599,12,Violent Rain
600,16,Key Mace #2
601,12,Tenderness
603,12,Fairy Dragon
608,8,Shining Friendship
609,1,Bladefly
615,16,Armored Starfish
616,12,Hourglass of Courage
620,48,Snakeyashi
629,12,Armored Rat
640,1,Acid Crawler
642,12,Mystical Sheep #1
643,12,Disk Magician
646,8,Gruesome Goo
647,8,Hyosube
