2,8,Mystical Elf
6,16,Feral Imp
7,20,Winged Dragon #1
13,64,Tyhone
26,16,Battle Ox
27,16,Beaver Warrior
31,16,Koumori Dragon
32,8,Two-headed King Rex
36,16,The Snake Hair
41,20,Celtic Guardian
43,16,Karbonala Warrior
44,20,Rogue Doll
46,16,Griffore
49,16,Big Insect
51,16,Armored Lizard
54,20,Gokibore
55,16,Giant Flea
60,8,Great White
62,80,Harpie Lady
63,2,Harpie Lady Sisters
64,8,Tiger Axe
66,16,Kojikocy
70,20,Fiend Kraken
71,16,Jellyfish
77,16,Grappler
81,8,Crawling Dragon #2
95,12,Crass Clown
115,8,Kamion Wizard
117,64,Spirit of the Books
121,8,Sleeping Lion
125,64,Faith Bird
136,16,Witty Phantom
149,16,Lord of the Lamp
151,16,Rhaimundos of the Red Sword
163,16,Lisark
166,16,Mysterious Puppeteer
168,12,Darkfire Dragon
170,8,Spirit of the Harp
186,48,Fiend Refrection #2
193,16,Turtle Tiger
194,16,Terra the Terrible
207,1,Droll Bird
216,16,Dryad
230,16,Rare Fish
233,8,Dark Titan of Terror
234,8,Beautiful Headhuntress
241,8,Dark Assailant
249,16,Water Omotics
255,16,Prevent Rat
272,1,Mavelus
275,16,Ground Attacker Bugroth
281,16,Mystic Clown
287,16,Ogre of the Black Shadow
297,16,Cyber Soldier of Darkworld
300,1,Kurama
316,20,Electro-whip
317,20,Cyber Shield
318,80,Elegant Egotist
321,20,Malevolent Nuzzler
332,20,Mountain
336,20,Dark Hole
340,20,Goblin's Secret Remedy
349,20,Spellbinding Circle
351,8,Yaranzo
352,8,Kanan the Swordmistress
353,16,Takriminos
363,8,Fairy's Gift
377,8,Ryu-kishin Powered
379,8,La Jinn the Mystical Genie
381,8,Toon Alligator
384,16,Dark Rabbit
386,1,Harpie's Pet Dragon
412,16,Giga-tech Wolf
415,20,Mechanicalchacer
416,20,Blocker
418,16,Golgoil
430,8,Water Magician
433,20,Ancient Elf
440,16,7 Colored Fish
447,16,Giant Red Seasnake
454,16,Destroyer Golem
456,16,Minomushi Warrior
459,16,Tripwire Beast
462,8,The Immortal of Thunder
466,40,Skull Red Bird
470,16,Magical Ghost
474,8,Sea Kamen
497,16,Yado Karu
502,8,D. Human
507,8,Crazy Fish
511,16,Bean Soldier
512,16,Cannon Soldier
515,16,The Statue of Easter Island
523,8,The Bistro Butcher
532,8,Gemini Elf
535,20,Kamakiriman
538,1,Niwatori
551,8,Dark Elf
552,1,Winged Dragon #2
578,20,Leo Wizard
581,40,Takuhee
583,12,Weather Report
587,16,Mon Larvas
595,48,Fiend Refrection #1
596,8,Ghoul with an Appetite
597,16,Pale Beast
607,20,Great Bill
608,8,Shining Friendship
623,16,The Thing That Hides in the Mud
625,16,Fairy of the Fountain
626,16,Amazon of the Seas
630,16,Ancient Lizard Warrior
631,8,Maiden of the Moonlight
634,12,Night Lizard
636,32,Blue-winged Crown
647,8,Hyosube
649,12,Hibikime
672,20,Harpie's Feather Duster
683,20,Bear Trap
690,20,Fake Trap
