13,136,Tyhone
20,10,Left Arm of the Forbidden One
41,46,Celtic Guardian
44,46,Rogue Doll
54,46,Gokibore
70,46,Fiend Kraken
78,46,Axe Raider
125,132,Faith Bird
149,45,Lord of the Lamp
186,90,Fiend Refrection #2
207,90,Droll Bird
272,90,Mavelus
300,90,Kurama
307,32,Elf's Light
312,32,Silver Bow and Arrow
313,32,Horn of Light
316,64,Electro-whip
317,72,Cyber Shield
321,32,Malevolent Nuzzler
325,32,Machine Conversion Factory
327,32,Follow Wind
332,64,Mountain
339,32,Red Medicine
340,32,Goblin's Secret Remedy
341,32,Soul of the Pure
344,32,Hinotama
345,32,Final Flame
349,32,Spellbinding Circle
412,45,Giga-tech Wolf
415,45,Mechanicalchacer
416,45,Blocker
538,90,Niwatori
552,90,Winged Dragon #2
672,64,Harpie's Feather Duster
676,32,Commencement Dance
684,36,Invisible Wire
685,36,Acid Trap Hole
687,36,Goblin Fan
690,32,Fake Trap
