2,25,Mystical Elf
6,20,Feral Imp
7,12,Winged Dragon #1
9,1,Shadow Specter
13,12,Tyhone
24,1,Skull Servant
26,20,Battle Ox
27,20,Beaver Warrior
30,1,Zombie Warrior
31,20,Koumori Dragon
32,25,Two-headed King Rex
36,83,The Snake Hair
41,12,Celtic Guardian
43,20,Karbonala Warrior
44,12,Rogue Doll
46,20,Griffore
49,20,Big Insect
51,20,Armored Lizard
54,12,Gokibore
55,20,Giant Flea
62,20,Harpie Lady
66,20,Kojikocy
70,12,Fiend Kraken
71,20,Jellyfish
78,24,Axe Raider
81,25,Crawling Dragon #2
83,24,Castle of Dark Illusions
86,18,Barox
91,20,Mystic Horseman
95,52,Crass Clown
96,1,Armored Zombie
97,1,Dragon Zombie
98,1,Clown Zombie
108,1,Graveyard and the Hand of Invitation
117,10,Spirit of the Books
125,10,Faith Bird
127,20,Ansatsu
128,20,LaMoon
132,1,The 13th Grave
135,1,Fiend's Hand
136,20,Witty Phantom
139,1,Blue-eyed Silver Zombie
146,1,Temple of Skulls
149,10,Lord of the Lamp
153,1,Dokuroizo the Grim Reaper
154,1,Fire Reaper
163,10,Lisark
168,22,Darkfire Dragon
170,24,Spirit of the Harp
197,1,Mech Mole Zombie
203,1,Phantom Ghost
215,1,Flame Ghost
216,10,Dryad
228,1,Wood Remains
230,20,Rare Fish
241,1,Dark Assailant
249,10,Water Omotics
275,4,Ground Attacker Bugroth
283,1,Holograh
287,10,Ogre of the Black Shadow
297,24,Cyber Soldier of Darkworld
325,80,Machine Conversion Factory
351,54,Yaranzo
352,24,Kanan the Swordmistress
353,20,Takriminos
359,1,Three-legged Zombies
368,44,Shadow Ghoul
377,24,Ryu-kishin Powered
379,24,La Jinn the Mystical Genie
384,10,Dark Rabbit
391,12,Zoa
394,1,Steel Scorpion
404,16,Tatsunootoshigo
405,35,Saber Slasher
406,1,Yaiba Robo
410,1,Mechanical Spider
411,1,Bat
412,24,Giga-tech Wolf
414,1,Shovel Crusher
415,35,Mechanicalchacer
416,35,Blocker
417,1,Blast Juggler
418,4,Golgoil
420,1,Cyber-Stein
421,1,Cyber Commander
422,1,Jinzo #7
433,16,Ancient Elf
440,10,7 Colored Fish
447,10,Giant Red Seasnake
448,20,Spike Seadra
460,20,Bolt Escargot
462,24,The Immortal of Thunder
466,23,Skull Red Bird
470,44,Magical Ghost
493,16,Maha Vailo
497,10,Yado Karu
498,23,Morinphen
507,24,Crazy Fish
511,20,Bean Soldier
512,44,Cannon Soldier
514,1,Brave Scizzar
517,20,Sand Stone
523,24,The Bistro Butcher
532,24,Gemini Elf
539,1,Corroding Shark
544,1,Dharma Cannon
548,1,Bone Mouse
551,24,Dark Elf
556,1,The Wandering Doomed
580,1,Patrol Robo
585,1,Mechanical Snail
587,20,Mon Larvas
595,20,Fiend Refrection #1
596,54,Ghoul with an Appetite
597,20,Pale Beast
621,16,Succubus Knight
624,16,High Tide Gyojin
625,20,Fairy of the Fountain
626,20,Amazon of the Seas
631,24,Maiden of the Moonlight
636,24,Blue-winged Crown
643,1,Disk Magician
648,44,Machine Attacker
658,64,Metalmorph
