16,32,Time Wizard
50,20,Basic Insect
51,1,Armored Lizard
60,1,Great White
70,1,Fiend Kraken
71,1,Jellyfish
76,1,Krokodilus
77,1,Grappler
104,32,Curtain of the Dark Ones
105,32,Tomozaurus
122,20,Yamatano Dragon Scroll
130,45,Weather Control
135,20,Fiend's Hand
137,45,Mystery Hand
140,1,Toad Master
152,64,The Melting Red Shadow
154,20,Fire Reaper
174,32,Hurricail
177,1,Monsturtle
182,20,Masked Clown
185,32,Eyearmor
191,20,LaLa Li-oon
193,1,Turtle Tiger
196,1,Arma Knight
197,32,Mech Mole Zombie
199,1,Penguin Knight
202,40,Air Marmot of Nefariousness
205,1,Dorover
206,1,Twin Long Rods #1
207,32,Droll Bird
210,32,Hinotama Soul
214,20,Kagemusha of the Blue Flame
227,16,Hitodenchak
230,1,Rare Fish
237,40,Haniwa
242,20,Candle of Fate
243,1,Water Element
245,20,Meda Bat
247,1,Root Water
249,1,Water Omotics
251,1,Enchanting Mermaid
258,1,Beastking of the Swamps
265,1,The Furious Sea King
268,20,Sectarian of Secrets
270,1,Wetha
285,16,Serpent Marauder
289,16,Change Slime
292,4,Psychic Kappa
309,36,Steel Shell
320,36,Stop Defense
334,48,Umi
340,36,Goblin's Secret Remedy
353,1,Takriminos
361,1,Flying Penguin
381,1,Toon Alligator
393,1,Zone Eater
398,1,Ooguchi
410,32,Mechanical Spider
420,20,Cyber-Stein
422,32,Jinzo #7
430,1,Water Magician
431,1,Ice Water
432,1,Waterdragon Fairy
435,1,Water Girl
436,100,White Dolphin
440,1,7 Colored Fish
444,132,Turu-Purun
445,1,Guardian of the Sea
446,1,Aqua Snake
447,1,Giant Red Seasnake
448,1,Spike Seadra
450,1,Kappa Avenger
451,1,Kanikabuto
452,16,Zarigun
474,1,Sea Kamen
475,1,Sinister Serpent
484,10,Ameba
485,40,Korogashi
486,30,Boo Koo
488,32,Rainbow Flower
492,20,Hoshiningen
497,1,Yado Karu
501,40,Man-eater Bug
503,1,Turtle Raccoon
507,1,Crazy Fish
516,32,Muka Muka
524,132,Star Boy
536,4,Mechaleon
541,40,Hane-Hane
543,1,Tongyo
546,1,Wow Warrior
549,64,Frog The Jam
550,1,Behegon
558,20,Pot the Trick
563,40,Wretched Ghost of the Attic
566,1,Yormungarde
569,1,Drooling Lizard
579,30,Abyss Flower
583,1,Weather Report
589,32,Tentacle Plant
590,1,Beaked Snake
598,30,Little Chimera
599,1,Violent Rain
602,30,Penguin Soldier
605,1,Liquid Beast
606,1,Twin Long Rods #2
611,30,Hiro's Shadow Scout
615,1,Armored Starfish
624,1,High Tide Gyojin
625,1,Fairy of the Fountain
626,1,Amazon of the Seas
628,40,Witch's Apprentice
630,1,Ancient Lizard Warrior
634,1,Night Lizard
644,30,Flame Viper
646,1,Gruesome Goo
647,1,Hyosube
655,32,Cursebreaker
