16,32,Time Wizard
130,32,Weather Control
137,32,Mystery Hand
152,32,The Melting Red Shadow
202,32,Air Marmot of Nefariousness
210,32,Hinotama Soul
237,32,Haniwa
308,64,Beast Fangs
309,128,Steel Shell
320,128,Stop Defense
324,96,Invigoration
328,96,Power of Kaishin
334,128,Umi
337,64,Raigeki
340,128,Goblin's Secret Remedy
410,32,Mechanical Spider
422,32,Jinzo #7
436,32,White Dolphin
444,32,Turu-Purun
485,32,Korogashi
488,32,Rainbow Flower
501,32,Man-eater Bug
516,32,Muka Muka
524,32,Star Boy
541,32,Hane-Hane
549,32,Frog The Jam
563,32,Wretched Ghost of the Attic
589,32,Tentacle Plant
628,32,Witch's Apprentice
655,128,Cursebreaker
664,64,Eternal Draught
682,64,Eatgaboon
683,64,Bear Trap
687,64,Goblin Fan
690,96,Fake Trap
693,64,Contruct of Mask
