1,45,Blue-eyes White Dragon
3,1,Hitotsu-me Giant
4,1,Baby Dragon
5,1,Ryu-kishin
7,1,Winged Dragon #1
10,1,Blackland Fire Dragon
12,24,Swamp Battleguard
14,24,Battle Steer
15,18,Flame Swordsman
23,1,The Wicked Worm Beast
26,1,Battle Ox
31,1,Koumori Dragon
34,1,Saggi the Dark Clown
42,18,Illusionist Faceless Mage
68,24,Garoozis
69,1,Thousand Dragon
73,24,Kairyu-shin
74,24,Giant Soldier of Stone
77,1,Grappler
84,24,Reaper of the Cards
87,24,Dark Chimera
88,24,Metal Guardian
89,16,Catapult Turtle
91,4,Mystic Horseman
93,32,Zanki
94,32,Crawling Dragon
106,24,Spirit of the Winds
111,16,Doma The Angel of Silence
122,1,Yamatano Dragon Scroll
124,24,Ancient Tool
126,24,Orion the Battle King
131,16,Octoberser
150,24,Akihiron
168,2,Darkfire Dragon
200,1,Petit Dragon
204,24,Mabarrel
213,32,Aqua Madoor
286,24,Gatekeeper
296,1,One-eyed Shield Dragon
298,1,Wicked Dragon with the Ersatz Head
320,32,Stop Defense
336,32,Dark Hole
348,32,Swords of Revealing Light
355,24,Megasonic Eye
357,32,Yamadron
362,16,Millennium Shield
366,16,Labyrinth Wall
375,24,Dungeon Worm
376,16,Monster Tamer
377,2,Ryu-kishin Powered
379,2,La Jinn the Mystical Genie
382,16,Rude Kaiser
383,64,Parrot Dragon
389,24,Giltia the D. Knight
396,32,Ocubeam
400,24,Emperor of the Land and Sea
403,24,Leogun
413,32,Cyber Soldier
423,8,Dice Armadillo
425,24,Thunder Dragon
434,32,Beautiful Beast Trainer
439,24,Bottom Dweller
441,24,Mech Bass
449,24,"30,000-Year White Turtle"
458,24,Kaminari Attack
464,24,Wing Eagle
468,32,Queen Bird
473,16,Vermillion Sparrow
482,16,Pragtical
487,32,Flower Wolf
491,32,Peacock
494,32,Rainbow Marine Mermaid
495,32,Musician King
508,32,Cyber Saurus
513,32,Guardian of the Throne Room
519,24,Fire Kraken
525,24,Spirit of the Mountain
528,16,Togex
542,16,Misairuzame
554,23,Lava Battleguard
557,32,Steel Ogre Grotto #1
561,1,Lesser Dragon
565,16,Man-eating Black Shark
577,8,Crow Goblin
593,32,Giant Turtle Who Feeds on Flames
603,1,Fairy Dragon
614,16,Hunter Spider
617,24,Marine Beast
622,24,Ill Witch
632,24,Stone Ogre Grotto
633,24,Winged Egg of New Life
637,24,Trent
638,24,Queen of Autumn Leaves
639,32,Amphibious Bugroth
641,24,Invader of the Throne
650,32,Whiptail Crow
661,64,Crush Card
669,32,Shadow Spell
675,45,Ultimate Dragon
