3,8,Hitotsu-me Giant
5,4,Ryu-kishin
6,8,Feral Imp
7,4,Winged Dragon #1
10,8,Blackland Fire Dragon
13,8,Tyhone
25,32,Horn Imp
41,8,Celtic Guardian
44,8,Rogue Doll
48,8,Sangan
53,8,Killer Needle
54,8,Gokibore
58,8,Kuriboh
60,32,Great White
64,16,Tiger Axe
70,8,Fiend Kraken
76,32,Krokodilus
77,32,Grappler
80,8,Uraby
83,8,Castle of Dark Illusions
84,8,Reaper of the Cards
86,4,Barox
87,4,Dark Chimera
88,8,Metal Guardian
95,8,Crass Clown
102,8,Mask of Darkness
103,8,Job-change Mirror
109,8,Goddess with the Third Eye
112,32,That Which Feeds on Life
115,32,Kamion Wizard
117,8,Spirit of the Books
119,32,Trial of Nightmares
121,32,Sleeping Lion
125,32,Faith Bird
136,4,Witty Phantom
137,4,Mystery Hand
146,8,Temple of Skulls
148,4,The Shadow Who Controls the Dark
149,32,Lord of the Lamp
151,32,Rhaimundos of the Red Sword
162,8,Tainted Wisdom
163,8,Lisark
164,64,Lord of Zemia
166,32,Mysterious Puppeteer
169,4,Dark King of the Abyss
171,32,Big Eye
173,4,Dark Prisoner
175,8,Ancient Brain
178,8,Claw Reacher
181,4,Dark Shade
186,32,Fiend Refrection #2
193,32,Turtle Tiger
194,64,Terra the Terrible
196,8,Arma Knight
201,8,Frenzied Panda
204,8,Mabarrel
216,8,Dryad
220,32,Masked Sorcerer
222,4,Midnight Fiend
225,8,Fiend Sword
232,8,Madjinn Gunn
233,64,Dark Titan of Terror
234,32,Beautiful Headhuntress
236,8,Guardian of the Labyrinth
240,4,The Drdek
241,32,Dark Assailant
242,4,Candle of Fate
245,4,Meda Bat
248,8,Master & Expert
249,8,Water Omotics
254,8,Embryonic Beast
255,32,Prevent Rat
256,8,Dimensional Warrior
259,32,Ancient Sorcerer
261,4,Wicked Mirror
269,4,Versago the Destroyer
271,4,Megirus Light
272,8,Mavelus
275,32,Ground Attacker Bugroth
277,4,Gorgon Egg
279,4,King Fog
280,32,Protector of the Throne
281,32,Mystic Clown
287,8,Ogre of the Black Shadow
288,8,Dark Artist
291,32,Fireyarou
293,8,Masaki the Legendary Swordsman
295,4,Bio Plant
297,8,Cyber Soldier of Darkworld
335,8,Yami
341,32,Soul of the Pure
346,8,Ookazi
361,8,Flying Penguin
363,32,Fairy's Gift
367,8,Jirai Gumo
377,8,Ryu-kishin Powered
379,8,La Jinn the Mystical Genie
381,32,Toon Alligator
384,8,Dark Rabbit
402,8,Monster Eye
406,32,Yaiba Robo
412,8,Giga-tech Wolf
418,32,Golgoil
430,32,Water Magician
435,8,Water Girl
440,8,7 Colored Fish
445,8,Guardian of the Sea
447,8,Giant Red Seasnake
454,8,Destroyer Golem
455,8,Barrel Rock
456,8,Minomushi Warrior
457,8,Stone Ghost
459,8,Tripwire Beast
474,8,Sea Kamen
480,8,Kuwagata a
490,4,Needle Ball
496,8,Wilmee
497,8,Yado Karu
498,4,Morinphen
502,8,D. Human
504,4,Fungi of the Musk
514,8,Brave Scizzar
515,8,The Statue of Easter Island
523,4,The Bistro Butcher
535,8,Kamakiriman
550,8,Behegon
552,8,Winged Dragon #2
560,32,Invader from Another Dimension
561,8,Lesser Dragon
563,4,Wretched Ghost of the Attic
574,8,Witch of the Black Forest
578,8,Leo Wizard
581,8,Takuhee
583,8,Weather Report
599,8,Violent Rain
600,32,Key Mace #2
603,8,Fairy Dragon
607,8,Great Bill
608,8,Shining Friendship
611,4,Hiro's Shadow Scout
615,8,Armored Starfish
616,16,Hourglass of Courage
620,8,Snakeyashi
623,8,The Thing That Hides in the Mud
630,8,Ancient Lizard Warrior
634,8,Night Lizard
643,8,Disk Magician
647,8,Hyosube
649,8,Hibikime
650,8,Whiptail Crow
