4,8,Baby Dragon
9,8,Shadow Specter
12,72,Swamp Battleguard
14,72,Battle Steer
15,72,Flame Swordsman
16,36,Time Wizard
28,40,Rock Ogre Grotto #1
29,36,Mountain Warrior
40,36,Dragon Piper
43,72,Karbonala Warrior
51,72,Armored Lizard
61,72,Wolf
64,72,Tiger Axe
68,72,Garoozis
78,72,Axe Raider
82,72,Red-eyes B. Dragon
100,36,Battle Warrior
101,36,Wings of Wicked Flame
123,8,Dark Plant
133,36,Charubin the Fire Knight
167,8,Ancient Jar
176,8,Fire Eye
192,8,Key Mace
210,8,Hinotama Soul
289,8,Change Slime
291,36,Fireyarou
324,80,Invigoration
330,70,Forest
331,70,Wasteland
332,70,Mountain
333,70,Sogen
334,70,Umi
335,70,Yami
347,100,Tremendous Fire
387,8,Mystic Lamp
389,72,Giltia the D. Knight
397,8,Leghul
402,8,Monster Eye
411,8,Bat
428,8,Magician of Faith
469,8,Armed Ninja
473,36,Vermillion Sparrow
484,8,Ameba
504,8,Fungi of the Musk
547,8,Griggle
548,8,Bone Mouse
558,8,Pot the Trick
635,8,Queen's Double
644,8,Flame Viper
651,80,Kunai with Chain
654,80,Salamandra
