4,64,Baby Dragon
9,32,Shadow Specter
12,64,Swamp Battleguard
14,64,Battle Steer
15,64,Flame Swordsman
16,64,Time Wizard
28,64,Rock Ogre Grotto #1
29,64,Mountain Warrior
40,32,Dragon Piper
43,64,Karbonala Warrior
51,64,Armored Lizard
61,64,Wolf
64,64,Tiger Axe
68,64,Garoozis
78,64,Axe Raider
82,8,Red-eyes B. Dragon
100,32,Battle Warrior
101,32,Wings of Wicked Flame
122,64,Yamatano Dragon Scroll
123,32,Dark Plant
133,56,Charubin the Fire Knight
154,32,Fire Reaper
167,32,Ancient Jar
176,32,Fire Eye
191,64,LaLa Li-oon
192,32,Key Mace
210,32,Hinotama Soul
289,16,Change Slime
291,32,Fireyarou
330,32,Forest
332,32,Mountain
333,32,Sogen
347,32,Tremendous Fire
387,32,Mystic Lamp
389,64,Giltia the D. Knight
397,16,Leghul
402,32,Monster Eye
411,16,Bat
428,32,Magician of Faith
469,32,Armed Ninja
473,64,Vermillion Sparrow
484,16,Ameba
504,16,Fungi of the Musk
547,16,Griggle
548,16,Bone Mouse
558,16,Pot the Trick
635,32,Queen's Double
644,32,Flame Viper
651,32,Kunai with Chain
654,32,Salamandra
712,32,Meteor Dragon
