9,80,Shadow Specter
24,105,Skull Servant
56,80,Larvae Moth
58,105,Kuriboh
105,80,Tomozaurus
123,80,Dark Plant
167,80,Ancient Jar
192,80,Key Mace
197,80,Mech Mole Zombie
198,80,Happy Lover
208,80,Petit Angel
278,80,Petit Moth
289,80,Change Slime
312,40,Silver Bow and Arrow
338,20,Mooyan Curry
344,20,Hinotama
363,40,Fairy's Gift
387,80,Mystic Lamp
393,105,Zone Eater
394,80,Steel Scorpion
395,105,Dancing Elf
397,80,Leghul
398,80,Ooguchi
399,105,Swordsman from a Foreign Land
402,80,Monster Eye
428,83,Magician of Faith
608,20,Shining Friendship
663,20,Breath of Light
