51,16,Armored Lizard
60,8,Great White
70,8,Fiend Kraken
71,8,Jellyfish
73,48,Kairyu-shin
76,8,Krokodilus
77,8,Grappler
89,40,Catapult Turtle
131,48,Octoberser
140,8,Toad Master
150,48,Akihiron
177,2,Monsturtle
193,8,Turtle Tiger
196,8,Arma Knight
199,2,Penguin Knight
205,2,Dorover
206,2,Twin Long Rods #1
223,48,Roaring Ocean Snake
230,16,Rare Fish
243,2,Water Element
247,2,Root Water
249,16,Water Omotics
251,8,Enchanting Mermaid
258,8,Beastking of the Swamps
270,2,Wetha
334,160,Umi
348,48,Swords of Revealing Light
353,16,Takriminos
361,8,Flying Penguin
381,8,Toon Alligator
400,48,Emperor of the Land and Sea
425,48,Thunder Dragon
430,8,Water Magician
431,8,Ice Water
432,2,Waterdragon Fairy
435,8,Water Girl
436,48,White Dolphin
437,48,Deepsea Shark
439,48,Bottom Dweller
440,16,7 Colored Fish
441,48,Mech Bass
443,48,Sea King Dragon
445,8,Guardian of the Sea
446,2,Aqua Snake
447,16,Giant Red Seasnake
448,16,Spike Seadra
449,48,"30,000-Year White Turtle"
450,8,Kappa Avenger
458,48,Kaminari Attack
459,8,Tripwire Beast
460,16,Bolt Escargot
461,8,Bolt Penguin
462,16,The Immortal of Thunder
463,6,Electric Snake
474,8,Sea Kamen
494,48,Rainbow Marine Mermaid
497,16,Yado Karu
503,8,Turtle Raccoon
507,16,Crazy Fish
518,48,Boulder Tortoise
519,48,Fire Kraken
520,48,Turtle Bird
542,48,Misairuzame
543,8,Tongyo
546,8,Wow Warrior
550,8,Behegon
565,48,Man-eating Black Shark
566,8,Yormungarde
569,8,Drooling Lizard
583,8,Weather Report
590,8,Beaked Snake
593,48,Giant Turtle Who Feeds on Flames
599,8,Violent Rain
605,8,Liquid Beast
610,48,Electric Lizard
615,8,Armored Starfish
617,48,Marine Beast
624,16,High Tide Gyojin
625,16,Fairy of the Fountain
626,16,Amazon of the Seas
630,8,Ancient Lizard Warrior
634,8,Night Lizard
639,48,Amphibious Bugroth
646,8,Gruesome Goo
647,8,Hyosube
664,120,Eternal Draught
700,48,Fortress Whale's Oath
