51,32,Armored Lizard
89,32,Catapult Turtle
131,32,Octoberser
150,32,Akihiron
193,32,Turtle Tiger
223,32,Roaring Ocean Snake
308,64,Beast Fangs
309,128,Steel Shell
324,128,Invigoration
328,128,Power of Kaishin
334,128,Umi
337,64,Raigeki
346,64,Ookazi
348,32,Swords of Revealing Light
353,32,Takriminos
400,32,Emperor of the Land and Sea
436,32,White Dolphin
437,32,Deepsea Shark
439,32,Bottom Dweller
440,32,7 Colored Fish
441,32,Mech Bass
449,32,"30,000-Year White Turtle"
462,32,The Immortal of Thunder
494,32,Rainbow Marine Mermaid
497,32,Yado Karu
503,32,Turtle Raccoon
507,32,Crazy Fish
518,32,Boulder Tortoise
519,32,Fire Kraken
520,32,Turtle Bird
542,32,Misairuzame
565,32,Man-eating Black Shark
593,32,Giant Turtle Who Feeds on Flames
599,32,Violent Rain
625,32,Fairy of the Fountain
626,32,Amazon of the Seas
639,32,Amphibious Bugroth
664,128,Eternal Draught
682,64,Eatgaboon
683,64,Bear Trap
687,64,Goblin Fan
700,64,Fortress Whale's Oath
