2,8,Mystical Elf
14,8,Battle Steer
32,8,Two-headed King Rex
34,8,Saggi the Dark Clown
35,16,Dark Magician
42,16,Illusionist Faceless Mage
44,8,Rogue Doll
60,8,Great White
70,8,Fiend Kraken
71,8,Jellyfish
73,32,Kairyu-shin
78,8,Axe Raider
81,8,Crawling Dragon #2
83,8,Castle of Dark Illusions
86,8,Barox
87,16,Dark Chimera
89,16,Catapult Turtle
90,16,Gyakutenno Megami
91,8,Mystic Horseman
93,8,Zanki
94,8,Crawling Dragon
106,8,Spirit of the Winds
109,8,Goddess with the Third Eye
111,8,Doma The Angel of Silence
115,8,Kamion Wizard
124,8,Ancient Tool
126,8,Orion the Battle King
127,8,Ansatsu
128,8,LaMoon
131,16,Octoberser
140,16,Toad Master
150,16,Akihiron
170,8,Spirit of the Harp
191,32,LaLa Li-oon
193,16,Turtle Tiger
196,8,Arma Knight
204,8,Mabarrel
211,32,Kaminarikozou
213,32,Aqua Madoor
216,8,Dryad
220,8,Masked Sorcerer
223,32,Roaring Ocean Snake
230,16,Rare Fish
249,8,Water Omotics
251,8,Enchanting Mermaid
258,8,Beastking of the Swamps
259,8,Ancient Sorcerer
276,8,Ray & Temperature
284,8,Tao the Chanter
334,32,Umi
351,8,Yaranzo
352,8,Kanan the Swordmistress
353,8,Takriminos
361,8,Flying Penguin
362,16,Millennium Shield
366,16,Labyrinth Wall
368,8,Shadow Ghoul
372,8,Kazejin
373,32,Suijin
377,8,Ryu-kishin Powered
379,8,La Jinn the Mystical Genie
396,8,Ocubeam
400,16,Emperor of the Land and Sea
404,16,Tatsunootoshigo
405,8,Saber Slasher
413,8,Cyber Soldier
425,32,Thunder Dragon
430,16,Water Magician
431,16,Ice Water
433,8,Ancient Elf
435,16,Water Girl
437,16,Deepsea Shark
439,16,Bottom Dweller
440,32,7 Colored Fish
441,16,Mech Bass
442,32,Aqua Dragon
443,32,Sea King Dragon
445,16,Guardian of the Sea
447,32,Giant Red Seasnake
448,64,Spike Seadra
449,16,"30,000-Year White Turtle"
450,16,Kappa Avenger
458,32,Kaminari Attack
459,32,Tripwire Beast
460,32,Bolt Escargot
462,32,The Immortal of Thunder
463,32,Electric Snake
468,8,Queen Bird
474,32,Sea Kamen
487,8,Flower Wolf
491,8,Peacock
493,8,Maha Vailo
494,16,Rainbow Marine Mermaid
495,16,Musician King
497,16,Yado Karu
498,8,Morinphen
507,16,Crazy Fish
508,16,Cyber Saurus
517,8,Sand Stone
518,16,Boulder Tortoise
519,16,Fire Kraken
520,16,Turtle Bird
523,8,The Bistro Butcher
525,8,Spirit of the Mountain
532,8,Gemini Elf
542,16,Misairuzame
543,16,Tongyo
546,16,Wow Warrior
550,16,Behegon
551,8,Dark Elf
557,8,Steel Ogre Grotto #1
565,16,Man-eating Black Shark
574,8,Witch of the Black Forest
578,8,Leo Wizard
582,8,Dark Witch
583,8,Weather Report
584,8,Binding Chain
593,16,Giant Turtle Who Feeds on Flames
596,8,Ghoul with an Appetite
599,16,Violent Rain
601,8,Tenderness
608,8,Shining Friendship
610,32,Electric Lizard
614,8,Hunter Spider
615,16,Armored Starfish
616,8,Hourglass of Courage
617,16,Marine Beast
619,8,Rock Spirit
621,8,Succubus Knight
622,8,Ill Witch
624,16,High Tide Gyojin
625,16,Fairy of the Fountain
626,16,Amazon of the Seas
631,8,Maiden of the Moonlight
632,8,Stone Ogre Grotto
633,8,Winged Egg of New Life
636,8,Blue-winged Crown
639,16,Amphibious Bugroth
641,8,Invader of the Throne
646,16,Gruesome Goo
647,16,Hyosube
648,8,Machine Attacker
710,32,Crab Turtle
