3,8,Hitotsu-me Giant
10,8,Blackland Fire Dragon
14,8,Battle Steer
23,16,The Wicked Worm Beast
25,8,Horn Imp
26,32,Battle Ox
27,16,Beaver Warrior
28,8,Rock Ogre Grotto #1
30,8,Zombie Warrior
34,8,Saggi the Dark Clown
40,8,Dragon Piper
46,16,Griffore
49,16,Big Insect
50,16,Basic Insect
52,16,Hercules Beetle
53,16,Killer Needle
54,16,Gokibore
55,16,Giant Flea
57,8,Great Moth
59,8,Mammoth Graveyard
60,8,Great White
61,16,Wolf
64,16,Tiger Axe
65,16,Silver Fang
68,8,Garoozis
72,24,Cocoon of Evolution
76,8,Krokodilus
80,8,Uraby
91,16,Mystic Horseman
92,16,Rabid Horseman
103,8,Job-change Mirror
109,8,Goddess with the Third Eye
110,8,Hero of the East
112,8,That Which Feeds on Life
115,8,Kamion Wizard
116,16,Nightmare Scorpion
118,8,Supporter in the Shadows
119,8,Trial of Nightmares
120,8,Dream Clown
121,16,Sleeping Lion
132,8,The 13th Grave
138,8,Dragon Statue
140,8,Toad Master
141,8,Spiked Snail
146,8,Temple of Skulls
153,8,Dokuroizo the Grim Reaper
157,16,Firegrass
162,8,Tainted Wisdom
163,16,Lisark
164,8,Lord of Zemia
165,8,The Judgement Hand
169,8,Dark King of the Abyss
171,8,Big Eye
172,8,Armaill
181,8,Dark Shade
196,8,Arma Knight
201,16,Frenzied Panda
209,16,Winged Cleaver
219,8,Solitude
220,8,Masked Sorcerer
221,16,Kumootoko
225,8,Fiend Sword
231,16,Wood Clown
233,8,Dark Titan of Terror
234,8,Beautiful Headhuntress
235,8,Wodan the Resident of the Forest
236,8,Guardian of the Labyrinth
241,8,Dark Assailant
246,8,One Who Hunts Souls
248,16,Master & Expert
250,8,Hyo
251,8,Enchanting Mermaid
252,32,Nekogal #1
255,8,Prevent Rat
256,8,Dimensional Warrior
257,8,Stone Armadiller
258,8,Beastking of the Swamps
259,8,Ancient Sorcerer
262,8,The Little Swordsman of Aile
263,8,Rock Ogre Grotto #2
269,8,Versago the Destroyer
272,8,Mavelus
273,16,Ancient Tree of Enlightenment
274,16,Green Phantom King
276,8,Ray & Temperature
280,8,Protector of the Throne
284,8,Tao the Chanter
287,8,Ogre of the Black Shadow
288,8,Dark Artist
290,8,Moon Envoy
291,8,Fireyarou
293,8,Masaki the Legendary Swordsman
294,8,Dragoness the Wicked Knight
296,8,One-eyed Shield Dragon
299,8,Sonic Maid
306,16,Insect Armor with Laser Cannon
310,16,Vile Germs
319,16,Mystical Moon
330,32,Forest
354,8,Stuffed Animal
361,8,Flying Penguin
363,8,Fairy's Gift
367,16,Jirai Gumo
375,32,Dungeon Worm
381,8,Toon Alligator
382,8,Rude Kaiser
384,8,Dark Rabbit
403,16,Leogun
404,8,Tatsunootoshigo
406,8,Yaiba Robo
412,8,Giga-tech Wolf
414,8,Shovel Crusher
430,8,Water Magician
435,8,Water Girl
445,8,Guardian of the Sea
450,8,Kappa Avenger
453,8,Millennium Golem
455,8,Barrel Rock
457,8,Stone Ghost
473,8,Vermillion Sparrow
474,8,Sea Kamen
476,8,Ganigumo
477,16,Alinsection
478,16,Insect Soldiers of the Sky
479,16,Cockroach Knight
480,8,Kuwagata a
483,32,Garvas
487,32,Flower Wolf
496,16,Wilmee
501,16,Man-eater Bug
502,8,D. Human
506,16,Gale Dogra
510,16,Laughing Flower
511,24,Bean Soldier
514,16,Brave Scizzar
528,8,Togex
529,16,Flame Cerebrus
533,24,Kwagar Hercules
534,16,Minar
535,16,Kamakiriman
543,8,Tongyo
546,8,Wow Warrior
550,8,Behegon
552,8,Winged Dragon #2
560,8,Invader from Another Dimension
561,8,Lesser Dragon
566,8,Yormungarde
567,16,Darkworld Thorns
570,8,Trakadon
574,16,Witch of the Black Forest
575,16,Ancient One of the Deep Forest
576,16,Giant Scorpion of the Tundra
579,16,Abyss Flower
584,8,Binding Chain
587,16,Mon Larvas
588,16,Living Vase
589,16,Tentacle Plant
594,16,Rose Spectre of Dunn
597,8,Pale Beast
599,8,Violent Rain
600,8,Key Mace #2
601,8,Tenderness
603,8,Fairy Dragon
607,16,Great Bill
608,8,Shining Friendship
609,16,Bladefly
614,16,Hunter Spider
615,8,Armored Starfish
616,8,Hourglass of Courage
620,16,Snakeyashi
627,16,Nekogal #2
637,16,Trent
638,16,Queen of Autumn Leaves
643,8,Disk Magician
647,8,Hyosube
