3,8,Hitotsu-me Giant
10,8,Blackland Fire Dragon
14,8,Battle Steer
23,12,The Wicked Worm Beast
25,8,Horn Imp
26,32,Battle Ox
27,16,Beaver Warrior
28,8,Rock Ogre Grotto #1
30,8,Zombie Warrior
34,8,Saggi the Dark Clown
40,8,Dragon Piper
46,12,Griffore
49,12,Big Insect
50,12,Basic Insect
52,12,Hercules Beetle
53,12,Killer Needle
54,12,Gokibore
55,12,Giant Flea
57,32,Great Moth
59,8,Mammoth Graveyard
60,8,Great White
61,12,Wolf
64,16,Tiger Axe
65,12,Silver Fang
67,8,Perfectly Ultimate Great Moth
68,8,Garoozis
72,32,Cocoon of Evolution
76,8,Krokodilus
80,8,Uraby
91,16,Mystic Horseman
92,32,Rabid Horseman
103,8,Job-change Mirror
109,8,Goddess with the Third Eye
110,8,Hero of the East
112,8,That Which Feeds on Life
115,8,Kamion Wizard
116,12,Nightmare Scorpion
118,8,Supporter in the Shadows
119,8,Trial of Nightmares
120,8,Dream Clown
121,12,Sleeping Lion
132,8,The 13th Grave
138,8,Dragon Statue
140,8,Toad Master
141,8,Spiked Snail
146,8,Temple of Skulls
153,8,Dokuroizo the Grim Reaper
157,12,Firegrass
162,8,Tainted Wisdom
163,12,Lisark
164,8,Lord of Zemia
165,8,The Judgement Hand
169,8,Dark King of the Abyss
171,8,Big Eye
172,8,Armaill
181,8,Dark Shade
196,8,Arma Knight
201,12,Frenzied Panda
209,12,Winged Cleaver
219,8,Solitude
220,8,Masked Sorcerer
221,12,Kumootoko
225,8,Fiend Sword
231,12,Wood Clown
233,8,Dark Titan of Terror
234,8,Beautiful Headhuntress
235,8,Wodan the Resident of the Forest
236,8,Guardian of the Labyrinth
241,8,Dark Assailant
246,8,One Who Hunts Souls
248,12,Master & Expert
250,8,Hyo
251,8,Enchanting Mermaid
252,32,Nekogal #1
255,8,Prevent Rat
256,8,Dimensional Warrior
257,8,Stone Armadiller
258,8,Beastking of the Swamps
259,8,Ancient Sorcerer
262,8,The Little Swordsman of Aile
263,8,Rock Ogre Grotto #2
269,8,Versago the Destroyer
272,8,Mavelus
273,16,Ancient Tree of Enlightenment
274,16,Green Phantom King
276,8,Ray & Temperature
280,8,Protector of the Throne
284,8,Tao the Chanter
287,8,Ogre of the Black Shadow
288,8,Dark Artist
290,8,Moon Envoy
291,8,Fireyarou
293,8,Masaki the Legendary Swordsman
294,8,Dragoness the Wicked Knight
296,8,One-eyed Shield Dragon
299,8,Sonic Maid
306,16,Insect Armor with Laser Cannon
310,16,Vile Germs
319,16,Mystical Moon
330,32,Forest
354,8,Stuffed Animal
361,8,Flying Penguin
363,8,Fairy's Gift
367,32,Jirai Gumo
375,32,Dungeon Worm
381,8,Toon Alligator
382,8,Rude Kaiser
384,8,Dark Rabbit
403,16,Leogun
404,8,Tatsunootoshigo
406,8,Yaiba Robo
412,8,Giga-tech Wolf
414,8,Shovel Crusher
430,8,Water Magician
435,8,Water Girl
445,8,Guardian of the Sea
450,8,Kappa Avenger
453,8,Millennium Golem
455,8,Barrel Rock
457,8,Stone Ghost
473,8,Vermillion Sparrow
474,8,Sea Kamen
476,8,Ganigumo
477,16,Alinsection
478,12,Insect Soldiers of the Sky
479,12,Cockroach Knight
480,8,Kuwagata a
483,32,Garvas
487,32,Flower Wolf
496,12,Wilmee
501,12,Man-eater Bug
502,8,D. Human
506,16,Gale Dogra
510,12,Laughing Flower
511,16,Bean Soldier
514,12,Brave Scizzar
528,8,Togex
529,32,Flame Cerebrus
533,16,Kwagar Hercules
534,12,Minar
535,12,Kamakiriman
543,8,Tongyo
546,8,Wow Warrior
550,8,Behegon
552,8,Winged Dragon #2
560,8,Invader from Another Dimension
561,8,Lesser Dragon
566,8,Yormungarde
567,12,Darkworld Thorns
570,8,Trakadon
574,12,Witch of the Black Forest
575,16,Ancient One of the Deep Forest
576,12,Giant Scorpion of the Tundra
579,12,Abyss Flower
584,8,Binding Chain
587,12,Mon Larvas
588,12,Living Vase
589,12,Tentacle Plant
594,32,Rose Spectre of Dunn
597,8,Pale Beast
599,8,Violent Rain
600,8,Key Mace #2
601,8,Tenderness
603,8,Fairy Dragon
607,12,Great Bill
608,8,Shining Friendship
609,12,Bladefly
614,12,Hunter Spider
615,8,Armored Starfish
616,8,Hourglass of Courage
620,12,Snakeyashi
627,32,Nekogal #2
637,16,Trent
638,32,Queen of Autumn Leaves
643,8,Disk Magician
647,8,Hyosube
717,32,Javelin Beetle
