4,64,Baby Dragon
7,64,Winged Dragon #1
10,32,Blackland Fire Dragon
13,32,Tyhone
31,32,Koumori Dragon
45,32,Oscillo Hero #2
62,64,Harpie Lady
94,16,Crawling Dragon
117,32,Spirit of the Books
122,32,Yamatano Dragon Scroll
125,64,Faith Bird
168,64,Darkfire Dragon
186,32,Fiend Refrection #2
272,64,Mavelus
294,64,Dragoness the Wicked Knight
296,32,One-eyed Shield Dragon
298,32,Wicked Dragon with the Ersatz Head
300,32,Kurama
332,32,Mountain
357,32,Yamadron
383,32,Parrot Dragon
409,32,Metal Dragon
424,32,Sky Dragon
459,64,Tripwire Beast
460,32,Bolt Escargot
461,64,Bolt Penguin
462,32,The Immortal of Thunder
463,32,Electric Snake
464,64,Wing Eagle
465,64,Punished Eagle
466,64,Skull Red Bird
468,32,Queen Bird
473,64,Vermillion Sparrow
491,32,Peacock
521,64,Skullbird
522,32,Monstrous Bird
538,32,Niwatori
552,32,Winged Dragon #2
561,32,Lesser Dragon
577,32,Crow Goblin
581,32,Takuhee
595,64,Fiend Refrection #1
603,32,Fairy Dragon
604,64,Obese Marmot of Nefariousness
610,32,Electric Lizard
636,64,Blue-winged Crown
712,16,Meteor Dragon
714,32,Firewing Pegasus
