2,8,Mystical Elf
6,8,Feral Imp
7,32,Winged Dragon #1
10,32,Blackland Fire Dragon
13,32,Tyhone
26,8,Battle Ox
27,8,Beaver Warrior
31,16,Koumori Dragon
32,16,Two-headed King Rex
36,16,The Snake Hair
39,16,Curse of Dragon
41,16,Celtic Guardian
43,10,Karbonala Warrior
44,8,Rogue Doll
46,8,Griffore
47,8,Torike
49,8,Big Insect
51,8,Armored Lizard
54,8,Gokibore
55,8,Giant Flea
60,8,Great White
62,32,Harpie Lady
63,32,Harpie Lady Sisters
64,8,Tiger Axe
66,16,Kojikocy
69,16,Thousand Dragon
70,8,Fiend Kraken
71,8,Jellyfish
77,8,Grappler
81,16,Crawling Dragon #2
94,16,Crawling Dragon
95,8,Crass Clown
115,8,Kamion Wizard
117,8,Spirit of the Books
121,8,Sleeping Lion
125,16,Faith Bird
136,8,Witty Phantom
149,8,Lord of the Lamp
151,8,Rhaimundos of the Red Sword
163,8,Lisark
166,8,Mysterious Puppeteer
168,16,Darkfire Dragon
170,8,Spirit of the Harp
186,32,Fiend Refrection #2
193,8,Turtle Tiger
194,8,Terra the Terrible
207,64,Droll Bird
216,8,Dryad
230,8,Rare Fish
233,8,Dark Titan of Terror
234,8,Beautiful Headhuntress
241,8,Dark Assailant
249,8,Water Omotics
255,8,Prevent Rat
272,32,Mavelus
275,8,Ground Attacker Bugroth
281,8,Mystic Clown
287,8,Ogre of the Black Shadow
296,32,One-eyed Shield Dragon
297,8,Cyber Soldier of Darkworld
315,32,Dragon Treasure
327,32,Follow Wind
332,32,Mountain
351,6,Yaranzo
352,8,Kanan the Swordmistress
353,8,Takriminos
363,8,Fairy's Gift
377,8,Ryu-kishin Powered
379,8,La Jinn the Mystical Genie
381,8,Toon Alligator
383,32,Parrot Dragon
384,8,Dark Rabbit
386,16,Harpie's Pet Dragon
412,8,Giga-tech Wolf
415,32,Mechanicalchacer
416,8,Blocker
418,8,Golgoil
425,16,Thunder Dragon
430,8,Water Magician
433,8,Ancient Elf
440,8,7 Colored Fish
447,16,Giant Red Seasnake
454,8,Destroyer Golem
456,8,Minomushi Warrior
458,16,Kaminari Attack
459,32,Tripwire Beast
460,32,Bolt Escargot
462,32,The Immortal of Thunder
464,32,Wing Eagle
465,32,Punished Eagle
466,16,Skull Red Bird
467,32,Crimson Sunbird
468,32,Queen Bird
470,8,Magical Ghost
474,8,Sea Kamen
491,32,Peacock
497,8,Yado Karu
502,32,D. Human
507,8,Crazy Fish
511,8,Bean Soldier
512,8,Cannon Soldier
515,8,The Statue of Easter Island
521,32,Skullbird
522,32,Monstrous Bird
523,8,The Bistro Butcher
532,16,Gemini Elf
535,8,Kamakiriman
538,32,Niwatori
551,8,Dark Elf
552,32,Winged Dragon #2
555,32,Tyhone #2
561,32,Lesser Dragon
571,16,B. Dragon Jungle King
577,32,Crow Goblin
578,8,Leo Wizard
581,8,Takuhee
583,8,Weather Report
587,8,Mon Larvas
595,32,Fiend Refrection #1
596,8,Ghoul with an Appetite
597,8,Pale Beast
603,16,Fairy Dragon
607,8,Great Bill
608,8,Shining Friendship
613,16,Twin-headed Thunder Dragon
623,8,The Thing That Hides in the Mud
625,8,Fairy of the Fountain
626,8,Amazon of the Seas
630,8,Ancient Lizard Warrior
631,8,Maiden of the Moonlight
634,8,Night Lizard
636,16,Blue-winged Crown
647,8,Hyosube
649,8,Hibikime
712,32,Meteor Dragon
