2,2,Mystical Elf
3,8,Hitotsu-me Giant
6,8,Feral Imp
11,32,Sword Arm of Dragon
22,32,Summoned Skull
23,8,The Wicked Worm Beast
25,8,Horn Imp
26,12,Battle Ox
28,2,Rock Ogre Grotto #1
30,8,Zombie Warrior
32,24,Two-headed King Rex
33,32,Judge Man
34,2,Saggi the Dark Clown
35,32,Dark Magician
36,24,The Snake Hair
42,8,Illusionist Faceless Mage
44,12,Rogue Doll
59,8,Mammoth Graveyard
74,8,Giant Soldier of Stone
77,8,Grappler
79,32,Megazowler
80,24,Uraby
81,24,Crawling Dragon #2
83,2,Castle of Dark Illusions
84,8,Reaper of the Cards
85,12,King of Yamimakai
86,8,Barox
87,12,Dark Chimera
88,8,Metal Guardian
90,32,Gyakutenno Megami
91,8,Mystic Horseman
92,12,Rabid Horseman
95,8,Crass Clown
99,24,Pumpking the King of Ghosts
103,2,Job-change Mirror
106,12,Spirit of the Winds
112,8,That Which Feeds on Life
115,8,Kamion Wizard
119,8,Trial of Nightmares
128,8,LaMoon
132,8,The 13th Grave
136,8,Witty Phantom
146,2,Temple of Skulls
149,8,Lord of the Lamp
153,2,Dokuroizo the Grim Reaper
162,8,Tainted Wisdom
164,8,Lord of Zemia
169,8,Dark King of the Abyss
171,8,Big Eye
181,8,Dark Shade
194,8,Terra the Terrible
204,12,Mabarrel
213,8,Aqua Madoor
216,8,Dryad
220,2,Masked Sorcerer
233,8,Dark Titan of Terror
241,8,Dark Assailant
257,2,Stone Armadiller
259,8,Ancient Sorcerer
263,2,Rock Ogre Grotto #2
269,8,Versago the Destroyer
281,12,Mystic Clown
284,8,Tao the Chanter
288,2,Dark Artist
322,72,Violet Crystal
324,48,Invigoration
326,48,Raise Body Heat
331,64,Wasteland
342,40,Dian Keto the Cure Master
351,8,Yaranzo
363,8,Fairy's Gift
366,32,Labyrinth Wall
368,24,Shadow Ghoul
372,32,Kazejin
377,12,Ryu-kishin Powered
378,32,Swordstalker
379,12,La Jinn the Mystical Genie
385,32,Bickuribox
391,32,Zoa
401,32,Ushi Oni
426,32,Stone D.
433,8,Ancient Elf
453,32,Millennium Golem
454,24,Destroyer Golem
455,8,Barrel Rock
456,8,Minomushi Warrior
457,8,Stone Ghost
470,8,Magical Ghost
471,32,Soul Hunter
472,32,Air Eater
482,32,Pragtical
493,12,Maha Vailo
495,32,Musician King
498,12,Morinphen
500,32,Dragon Seeker
509,32,Bracchio-raidus
515,8,The Statue of Easter Island
517,8,Sand Stone
523,12,The Bistro Butcher
525,8,Spirit of the Mountain
526,32,Neck Hunter
531,32,Mystical Sand
532,12,Gemini Elf
545,32,Skelgon
551,12,Dark Elf
560,2,Invader from Another Dimension
564,32,Great Mammoth of Goldfine
570,8,Trakadon
574,8,Witch of the Black Forest
578,8,Leo Wizard
596,24,Ghoul with an Appetite
600,8,Key Mace #2
619,32,Rock Spirit
622,32,Ill Witch
623,8,The Thing That Hides in the Mud
631,12,Maiden of the Moonlight
632,32,Stone Ogre Grotto
650,32,Whiptail Crow
672,40,Harpie's Feather Duster
719,40,Dokurorider
