11,32,Sword Arm of Dragon
32,32,Two-headed King Rex
33,32,Judge Man
36,32,The Snake Hair
79,32,Megazowler
99,32,Pumpking the King of Ghosts
303,128,Dark Energy
321,64,Malevolent Nuzzler
322,128,Violet Crystal
323,64,Book of Secret Arts
324,128,Invigoration
326,128,Raise Body Heat
331,128,Wasteland
342,64,Dian Keto the Cure Master
346,64,Ookazi
366,32,Labyrinth Wall
453,32,Millennium Golem
454,32,Destroyer Golem
482,32,Pragtical
509,32,Bracchio-raidus
531,32,Mystical Sand
545,32,Skelgon
564,32,Great Mammoth of Goldfine
619,32,Rock Spirit
622,32,Ill Witch
632,32,Stone Ogre Grotto
650,32,Whiptail Crow
672,64,Harpie's Feather Duster
676,64,Commencement Dance
682,64,Eatgaboon
683,64,Bear Trap
684,64,Invisible Wire
687,64,Goblin Fan
688,64,Bad Reaction to Simochi
693,64,Contruct of Mask
695,64,Puppet Ritual
