4,20,Baby Dragon
9,40,Shadow Specter
16,20,Time Wizard
29,40,Mountain Warrior
100,40,Battle Warrior
122,20,Yamatano Dragon Scroll
123,40,Dark Plant
154,40,Fire Reaper
167,40,Ancient Jar
191,20,LaLa Li-oon
192,40,Key Mace
289,40,Change Slime
301,116,Legendary Sword
302,80,Sword of Dark Destruction
310,80,Vile Germs
311,80,Black Pendant
333,116,Sogen
336,20,Dark Hole
339,80,Red Medicine
343,80,Sparks
344,80,Hinotama
387,40,Mystic Lamp
397,40,Leghul
402,40,Monster Eye
411,40,Bat
428,40,Magician of Faith
469,40,Armed Ninja
651,116,Kunai with Chain
654,80,Salamandra
681,80,House of Adhesive Tape
484,40,Ameba
504,40,Fungi of the Musk
547,40,Griggle
548,40,Bone Mouse
558,40,Pot the Trick
635,40,Queen's Double
683,80,Bear Trap
690,80,Fake Trap
