3,1,Hitotsu-me Giant
7,1,Winged Dragon #1
10,1,Blackland Fire Dragon
12,8,Swamp Battleguard
14,8,Battle Steer
15,8,Flame Swordsman
23,1,The Wicked Worm Beast
26,1,Battle Ox
27,1,Beaver Warrior
31,1,Koumori Dragon
33,16,Judge Man
34,1,Saggi the Dark Clown
37,64,Gaia the Dragon Champion
38,32,Gaia the Fierce Knight
39,8,Curse of Dragon
41,1,Celtic Guardian
42,8,Illusionist Faceless Mage
43,1,Karbonala Warrior
52,8,Hercules Beetle
64,1,Tiger Axe
66,1,Kojikocy
68,8,Garoozis
69,32,Thousand Dragon
73,8,Kairyu-shin
74,8,Giant Soldier of Stone
77,1,Grappler
78,1,Axe Raider
82,32,Red-eyes B. Dragon
84,8,Reaper of the Cards
85,8,King of Yamimakai
87,8,Dark Chimera
88,8,Metal Guardian
89,8,Catapult Turtle
90,16,Gyakutenno Megami
91,1,Mystic Horseman
92,16,Rabid Horseman
93,8,Zanki
94,8,Crawling Dragon
106,8,Spirit of the Winds
110,1,Hero of the East
111,8,Doma The Angel of Silence
118,1,Supporter in the Shadows
120,1,Dream Clown
124,8,Ancient Tool
126,8,Orion the Battle King
127,1,Ansatsu
131,8,Octoberser
138,1,Dragon Statue
150,8,Akihiron
151,1,Rhaimundos of the Red Sword
165,1,The Judgement Hand
166,1,Mysterious Puppeteer
168,1,Darkfire Dragon
172,1,Armaill
204,8,Mabarrel
213,8,Aqua Madoor
217,64,B. Skull Dragon
219,1,Solitude
225,1,Fiend Sword
231,1,Wood Clown
234,1,Beautiful Headhuntress
235,1,Wodan the Resident of the Forest
236,1,Guardian of the Labyrinth
239,1,Vishwar Randi
246,1,One Who Hunts Souls
256,1,Dimensional Warrior
262,1,The Little Swordsman of Aile
280,1,Protector of the Throne
286,8,Gatekeeper
287,1,Ogre of the Black Shadow
290,1,Moon Envoy
293,1,Masaki the Legendary Swordsman
294,1,Dragoness the Wicked Knight
296,1,One-eyed Shield Dragon
299,1,Sonic Maid
301,120,Legendary Sword
302,120,Sword of Dark Destruction
304,80,Axe of Despair
333,100,Sogen
348,48,Swords of Revealing Light
352,1,Kanan the Swordmistress
354,1,Stuffed Animal
355,8,Megasonic Eye
358,64,Seiyaryu
362,8,Millennium Shield
366,8,Labyrinth Wall
369,64,Wall Shadow
374,64,Gate Guardian
375,8,Dungeon Worm
376,8,Monster Tamer
377,1,Ryu-kishin Powered
378,16,Swordstalker
379,1,La Jinn the Mystical Genie
382,8,Rude Kaiser
383,8,Parrot Dragon
386,32,Harpie's Pet Dragon
389,8,Giltia the D. Knight
396,8,Ocubeam
400,8,Emperor of the Land and Sea
403,8,Leogun
409,8,Metal Dragon
413,8,Cyber Soldier
419,8,Giganto
423,8,Dice Armadillo
424,16,Sky Dragon
425,8,Thunder Dragon
427,32,Kaiser Dragon
434,8,Beautiful Beast Trainer
437,8,Deepsea Shark
438,8,Metal Fish
439,8,Bottom Dweller
441,8,Mech Bass
449,8,"30,000-Year White Turtle"
458,8,Kaminari Attack
464,8,Wing Eagle
468,8,Queen Bird
473,8,Vermillion Sparrow
482,8,Pragtical
487,8,Flower Wolf
491,8,Peacock
494,8,Rainbow Marine Mermaid
495,8,Musician King
502,1,D. Human
508,8,Cyber Saurus
513,8,Guardian of the Throne Room
519,8,Fire Kraken
520,16,Turtle Bird
521,16,Skullbird
525,8,Spirit of the Mountain
528,8,Togex
533,16,Kwagar Hercules
542,8,Misairuzame
545,16,Skelgon
553,1,Mushroom Man #2
554,8,Lava Battleguard
555,16,Tyhone #2
557,8,Steel Ogre Grotto #1
561,1,Lesser Dragon
565,8,Man-eating Black Shark
571,16,B. Dragon Jungle King
572,16,Empress Judge
577,8,Crow Goblin
582,8,Dark Witch
593,8,Giant Turtle Who Feeds on Flames
603,1,Fairy Dragon
614,8,Hunter Spider
617,8,Marine Beast
618,16,Warrior of Tradition
619,8,Rock Spirit
621,1,Succubus Knight
622,8,Ill Witch
627,16,Nekogal #2
632,8,Stone Ogre Grotto
633,8,Winged Egg of New Life
637,8,Trent
638,8,Queen of Autumn Leaves
639,8,Amphibious Bugroth
641,8,Invader of the Throne
649,1,Hibikime
650,8,Whiptail Crow
672,48,Harpie's Feather Duster
684,48,Invisible Wire
690,48,Fake Trap
697,32,Garma Sword Oath
701,16,Performance of Sword
