3,8,Hitotsu-me Giant
7,8,Winged Dragon #1
10,8,Blackland Fire Dragon
12,32,Swamp Battleguard
14,32,Battle Steer
15,32,Flame Swordsman
23,8,The Wicked Worm Beast
26,32,Battle Ox
27,24,Beaver Warrior
31,8,Koumori Dragon
33,32,Judge Man
34,8,Saggi the Dark Clown
37,48,Gaia the Dragon Champion
38,48,Gaia the Fierce Knight
39,16,Curse of Dragon
41,24,Celtic Guardian
42,8,Illusionist Faceless Mage
43,24,Karbonala Warrior
52,8,Hercules Beetle
64,8,Tiger Axe
66,8,Kojikocy
68,8,Garoozis
69,8,Thousand Dragon
73,8,Kairyu-shin
74,8,Giant Soldier of Stone
77,8,Grappler
78,32,Axe Raider
82,8,Red-eyes B. Dragon
84,8,Reaper of the Cards
85,8,King of Yamimakai
87,8,Dark Chimera
88,8,Metal Guardian
89,8,Catapult Turtle
90,16,Gyakutenno Megami
91,32,Mystic Horseman
92,32,Rabid Horseman
93,32,Zanki
94,8,Crawling Dragon
106,8,Spirit of the Winds
110,8,Hero of the East
111,8,Doma The Angel of Silence
118,8,Supporter in the Shadows
120,16,Dream Clown
124,8,Ancient Tool
126,16,Orion the Battle King
127,16,Ansatsu
131,8,Octoberser
138,8,Dragon Statue
150,8,Akihiron
151,8,Rhaimundos of the Red Sword
165,8,The Judgement Hand
166,8,Mysterious Puppeteer
168,8,Darkfire Dragon
172,8,Armaill
204,8,Mabarrel
213,8,Aqua Madoor
217,8,B. Skull Dragon
219,8,Solitude
225,8,Fiend Sword
231,8,Wood Clown
234,16,Beautiful Headhuntress
235,16,Wodan the Resident of the Forest
236,8,Guardian of the Labyrinth
239,8,Vishwar Randi
246,8,One Who Hunts Souls
256,8,Dimensional Warrior
262,8,The Little Swordsman of Aile
280,8,Protector of the Throne
286,8,Gatekeeper
287,8,Ogre of the Black Shadow
290,8,Moon Envoy
293,8,Masaki the Legendary Swordsman
294,8,Dragoness the Wicked Knight
296,8,One-eyed Shield Dragon
299,8,Sonic Maid
304,32,Axe of Despair
333,32,Sogen
352,16,Kanan the Swordmistress
354,8,Stuffed Animal
355,16,Megasonic Eye
358,8,Seiyaryu
362,32,Millennium Shield
366,8,Labyrinth Wall
369,8,Wall Shadow
374,8,Gate Guardian
375,8,Dungeon Worm
376,32,Monster Tamer
377,8,Ryu-kishin Powered
378,32,Swordstalker
379,8,La Jinn the Mystical Genie
382,32,Rude Kaiser
383,8,Parrot Dragon
386,8,Harpie's Pet Dragon
389,32,Giltia the D. Knight
396,8,Ocubeam
400,8,Emperor of the Land and Sea
403,8,Leogun
409,8,Metal Dragon
413,16,Cyber Soldier
419,8,Giganto
423,8,Dice Armadillo
424,8,Sky Dragon
425,8,Thunder Dragon
427,8,Kaiser Dragon
434,32,Beautiful Beast Trainer
437,8,Deepsea Shark
438,8,Metal Fish
439,8,Bottom Dweller
441,8,Mech Bass
449,8,"30,000-Year White Turtle"
458,8,Kaminari Attack
464,8,Wing Eagle
468,8,Queen Bird
473,8,Vermillion Sparrow
482,8,Pragtical
487,8,Flower Wolf
491,8,Peacock
494,8,Rainbow Marine Mermaid
495,8,Musician King
502,16,D. Human
508,8,Cyber Saurus
513,8,Guardian of the Throne Room
519,8,Fire Kraken
520,16,Turtle Bird
521,16,Skullbird
525,8,Spirit of the Mountain
528,8,Togex
533,8,Kwagar Hercules
542,8,Misairuzame
545,8,Skelgon
553,8,Mushroom Man #2
554,32,Lava Battleguard
555,8,Tyhone #2
557,8,Steel Ogre Grotto #1
561,8,Lesser Dragon
565,8,Man-eating Black Shark
571,8,B. Dragon Jungle King
572,32,Empress Judge
577,8,Crow Goblin
582,8,Dark Witch
593,8,Giant Turtle Who Feeds on Flames
603,8,Fairy Dragon
614,8,Hunter Spider
617,8,Marine Beast
618,32,Warrior of Tradition
619,8,Rock Spirit
621,16,Succubus Knight
622,8,Ill Witch
627,32,Nekogal #2
632,8,Stone Ogre Grotto
633,8,Winged Egg of New Life
637,8,Trent
638,8,Queen of Autumn Leaves
639,8,Amphibious Bugroth
641,24,Invader of the Throne
649,8,Hibikime
650,8,Whiptail Crow
701,32,Performance of Sword
