28,16,Rock Ogre Grotto #1
30,16,Zombie Warrior
36,16,The Snake Hair
51,16,Armored Lizard
70,16,Fiend Kraken
71,16,Jellyfish
74,32,Giant Soldier of Stone
76,16,Krokodilus
77,16,Grappler
89,32,Catapult Turtle
99,32,Pumpking the King of Ghosts
131,32,Octoberser
132,16,The 13th Grave
140,16,Toad Master
146,16,Temple of Skulls
150,32,Akihiron
153,16,Dokuroizo the Grim Reaper
193,16,Turtle Tiger
196,16,Arma Knight
223,32,Roaring Ocean Snake
241,16,Dark Assailant
249,16,Water Omotics
257,16,Stone Armadiller
258,16,Beastking of the Swamps
263,16,Rock Ogre Grotto #2
351,16,Yaranzo
361,16,Flying Penguin
366,64,Labyrinth Wall
367,16,Jirai Gumo
368,16,Shadow Ghoul
369,64,Wall Shadow
370,64,Labyrinth Tank
371,16,Sanga of the Thunder
372,16,Kazejin
373,16,Suijin
374,8,Gate Guardian
375,32,Dungeon Worm
376,32,Monster Tamer
381,16,Toon Alligator
400,32,Emperor of the Land and Sea
425,32,Thunder Dragon
426,64,Stone D.
430,16,Water Magician
431,16,Ice Water
435,16,Water Girl
445,16,Guardian of the Sea
447,16,Giant Red Seasnake
449,32,"30,000-Year White Turtle"
450,16,Kappa Avenger
453,64,Millennium Golem
454,16,Destroyer Golem
455,16,Barrel Rock
456,16,Minomushi Warrior
457,16,Stone Ghost
458,32,Kaminari Attack
459,16,Tripwire Beast
460,16,Bolt Escargot
462,16,The Immortal of Thunder
470,16,Magical Ghost
474,16,Sea Kamen
497,16,Yado Karu
515,16,The Statue of Easter Island
517,16,Sand Stone
518,32,Boulder Tortoise
519,32,Fire Kraken
520,32,Turtle Bird
531,32,Mystical Sand
545,32,Skelgon
550,16,Behegon
564,64,Great Mammoth of Goldfine
566,16,Yormungarde
583,16,Weather Report
593,32,Giant Turtle Who Feeds on Flames
596,16,Ghoul with an Appetite
599,16,Violent Rain
613,8,Twin-headed Thunder Dragon
615,16,Armored Starfish
623,16,The Thing That Hides in the Mud
624,16,High Tide Gyojin
625,16,Fairy of the Fountain
630,16,Ancient Lizard Warrior
632,32,Stone Ogre Grotto
634,16,Night Lizard
639,32,Amphibious Bugroth
646,16,Gruesome Goo
647,16,Hyosube
652,32,Magical Labyrinth
660,16,Stain Storm
689,16,Reverse Trap
690,16,Fake Trap
