1,16,Blue-eyes White Dragon
2,8,Mystical Elf
6,8,Feral Imp
7,8,Winged Dragon #1
10,16,Blackland Fire Dragon
12,8,Swamp Battleguard
15,8,Flame Swordsman
22,16,Summoned Skull
27,8,Beaver Warrior
31,32,Koumori Dragon
33,32,Judge Man
35,32,Dark Magician
37,32,Gaia the Dragon Champion
38,32,Gaia the Fierce Knight
39,32,Curse of Dragon
41,8,Celtic Guardian
43,8,Karbonala Warrior
46,8,Griffore
63,32,Harpie Lady Sisters
66,16,Kojikocy
69,64,Thousand Dragon
74,32,Giant Soldier of Stone
77,8,Grappler
78,8,Axe Raider
79,16,Megazowler
82,16,Red-eyes B. Dragon
89,8,Catapult Turtle
90,16,Gyakutenno Megami
91,16,Mystic Horseman
92,16,Rabid Horseman
93,8,Zanki
99,64,Pumpking the King of Ghosts
127,8,Ansatsu
138,16,Dragon Statue
151,8,Rhaimundos of the Red Sword
166,8,Mysterious Puppeteer
217,8,B. Skull Dragon
223,16,Roaring Ocean Snake
349,32,Spellbinding Circle
352,8,Kanan the Swordmistress
358,32,Seiyaryu
364,32,Black Luster Soldier
369,32,Wall Shadow
370,32,Labyrinth Tank
371,32,Sanga of the Thunder
372,32,Kazejin
373,32,Suijin
374,8,Gate Guardian
376,16,Monster Tamer
377,16,Ryu-kishin Powered
378,16,Swordstalker
379,16,La Jinn the Mystical Genie
385,32,Bickuribox
386,64,Harpie's Pet Dragon
389,8,Giltia the D. Knight
390,16,Launcher Spider
391,64,Zoa
392,64,Metalzoa
401,64,Ushi Oni
407,16,Machine King
426,64,Stone D.
427,32,Kaiser Dragon
434,8,Beautiful Beast Trainer
442,32,Aqua Dragon
453,32,Millennium Golem
465,8,Punished Eagle
467,32,Crimson Sunbird
471,32,Soul Hunter
500,32,Dragon Seeker
509,32,Bracchio-raidus
522,8,Monstrous Bird
529,8,Flame Cerebrus
531,8,Mystical Sand
554,8,Lava Battleguard
559,16,Oscillo Hero
564,64,Great Mammoth of Goldfine
571,32,B. Dragon Jungle King
572,8,Empress Judge
594,8,Rose Spectre of Dunn
613,32,Twin-headed Thunder Dragon
618,8,Warrior of Tradition
621,8,Succubus Knight
627,16,Nekogal #2
641,8,Invader of the Throne
645,32,Royal Guard
649,8,Hibikime
690,32,Fake Trap
712,64,Meteor Dragon
713,16,Meteor B. Dragon
