1,120,Blue-eyes White Dragon
22,16,Summoned Skull
35,32,Dark Magician
37,32,Gaia the Dragon Champion
38,24,Gaia the Fierce Knight
63,24,Harpie Lady Sisters
69,24,Thousand Dragon
79,16,Megazowler
82,24,Red-eyes B. Dragon
84,16,Reaper of the Cards
85,16,King of Yamimakai
87,16,Dark Chimera
88,16,Metal Guardian
90,16,Gyakutenno Megami
92,16,Rabid Horseman
99,16,Pumpking the King of Ghosts
204,16,Mabarrel
217,48,B. Skull Dragon
223,16,Roaring Ocean Snake
337,120,Raigeki
358,32,Seiyaryu
369,32,Wall Shadow
370,32,Labyrinth Tank
371,24,Sanga of the Thunder
372,24,Kazejin
373,24,Suijin
374,64,Gate Guardian
378,16,Swordstalker
380,80,Blue-eyes Ultimate Dragon
385,24,Bickuribox
386,24,Harpie's Pet Dragon
390,32,Launcher Spider
391,24,Zoa
392,48,Metalzoa
401,24,Ushi Oni
407,24,Machine King
426,24,Stone D.
427,24,Kaiser Dragon
442,24,Aqua Dragon
453,24,Millennium Golem
465,16,Punished Eagle
467,16,Crimson Sunbird
471,24,Soul Hunter
472,16,Air Eater
500,24,Dragon Seeker
509,24,Bracchio-raidus
522,16,Monstrous Bird
526,16,Neck Hunter
529,16,Flame Cerebrus
531,16,Mystical Sand
564,24,Great Mammoth of Goldfine
571,16,B. Dragon Jungle King
572,16,Empress Judge
594,16,Rose Spectre of Dunn
613,24,Twin-headed Thunder Dragon
627,16,Nekogal #2
645,24,Royal Guard
650,16,Whiptail Crow
669,120,Shadow Spell
672,160,Harpie's Feather Duster
686,120,Widespread Ruin
712,16,Meteor Dragon
713,48,Meteor B. Dragon
