302,64,Sword of Dark Destruction
303,64,Dark Energy
308,64,Beast Fangs
311,64,Black Pendant
314,64,Horn of the Unicorn
315,64,Dragon Treasure
324,64,Invigoration
328,64,Power of Kaishin
329,64,Dragon Capture Jar
336,32,Dark Hole
337,64,Raigeki
343,32,Sparks
344,32,Hinotama
345,32,Final Flame
349,64,Spellbinding Circle
653,32,Warrior Elimination
656,32,Eternal Rest
661,64,Crush Card
665,32,Curse of Millennium Shield
666,32,Yamadron Ritual
668,64,Bright Castle
671,32,Zera Ritual
672,64,Harpie's Feather Duster
673,32,War-lion Ritual
674,32,Beastry Mirror Ritual
675,64,Ultimate Dragon
676,32,Commencement Dance
677,32,Hamburger Recipe
678,32,Revival of Sennen Genjin
679,32,Novox's Prayer
680,32,Curse of Tri-Horned Dragon
684,32,Invisible Wire
685,64,Acid Trap Hole
686,64,Widespread Ruin
687,64,Goblin Fan
688,64,Bad Reaction to Simochi
691,32,Revived of Serpent Night Dragon
692,32,Turtle Oath
693,32,Contruct of Mask
694,32,Resurrection of Chakra
695,32,Puppet Ritual
697,32,Garma Sword Oath
698,32,Cosmo Queen's Prayer
699,32,Revival of Skeleton Rider
700,32,Fortress Whale's Oath
