24,80,Skull Servant
58,80,Kuriboh
167,80,Ancient Jar
339,20,Red Medicine
350,80,Dark-piercing Light
387,80,Mystic Lamp
393,80,Zone Eater
394,80,Steel Scorpion
395,80,Dancing Elf
398,40,Ooguchi
399,80,Swordsman from a Foreign Land
402,80,Monster Eye
469,80,Armed Ninja
475,80,Sinister Serpent
484,80,Ameba
485,80,Korogashi
488,80,Rainbow Flower
499,44,Kattapillar
504,44,Fungi of the Musk
516,80,Muka Muka
527,80,Milus Radiant
541,80,Hane-Hane
547,80,Griggle
548,80,Bone Mouse
558,80,Pot the Trick
563,80,Wretched Ghost of the Attic
635,60,Queen's Double
644,80,Flame Viper
