4,8,Baby Dragon
9,16,Shadow Specter
24,16,Skull Servant
28,16,Rock Ogre Grotto #1
29,8,Mountain Warrior
30,8,Zombie Warrior
40,8,Dragon Piper
45,16,Oscillo Hero #2
47,16,Torike
48,8,Sangan
59,16,Mammoth Graveyard
61,8,Wolf
65,8,Silver Fang
96,8,Armored Zombie
97,8,Dragon Zombie
98,8,Clown Zombie
100,8,Battle Warrior
108,16,Graveyard and the Hand of Invitation
113,8,Dark Gray
114,8,White Magical Hat
116,8,Nightmare Scorpion
118,8,Supporter in the Shadows
132,16,The 13th Grave
133,8,Charubin the Fire Knight
135,8,Fiend's Hand
138,8,Dragon Statue
139,16,Blue-eyed Silver Zombie
140,16,Toad Master
141,8,Spiked Snail
142,8,Flame Manipulator
143,8,Necrolancer the Timelord
144,8,Djinn the Watcher of the Wind
146,8,Temple of Skulls
152,8,The Melting Red Shadow
153,8,Dokuroizo the Grim Reaper
154,16,Fire Reaper
155,16,Larvas
167,8,Ancient Jar
169,8,Dark King of the Abyss
172,8,Armaill
173,8,Dark Prisoner
175,8,Ancient Brain
177,32,Monsturtle
178,16,Claw Reacher
180,16,Arlownay
181,8,Dark Shade
188,8,Synchar
189,16,Fusionist
190,16,Akakieisu
191,8,LaLa Li-oon
196,8,Arma Knight
197,8,Mech Mole Zombie
199,32,Penguin Knight
203,8,Phantom Ghost
205,32,Dorover
206,16,Twin Long Rods #1
211,8,Kaminarikozou
215,32,Flame Ghost
218,8,Two-mouth Darkruler
224,8,Trap Master
226,8,Skull Stalker
227,8,Hitodenchak
228,32,Wood Remains
231,16,Wood Clown
237,8,Haniwa
239,8,Vishwar Randi
241,8,Dark Assailant
243,16,Water Element
244,32,Dissolverock
247,8,Root Water
250,8,Hyo
252,8,Nekogal #1
253,16,Angelwitch
257,16,Stone Armadiller
258,8,Beastking of the Swamps
260,8,Lunar Queen Elzaim
263,8,Rock Ogre Grotto #2
264,16,Wing Egg Elf
265,8,The Furious Sea King
266,8,Princess of Tsurugi
269,8,Versago the Destroyer
270,32,Wetha
276,8,Ray & Temperature
277,8,Gorgon Egg
279,8,King Fog
282,16,Mystical Sheep #2
283,16,Holograh
288,8,Dark Artist
289,8,Change Slime
292,8,Psychic Kappa
295,8,Bio Plant
296,8,One-eyed Shield Dragon
298,8,Wicked Dragon with the Ersatz Head
300,8,Kurama
335,16,Yami
339,16,Red Medicine
345,16,Final Flame
359,32,Three-legged Zombies
361,8,Flying Penguin
367,8,Jirai Gumo
387,8,Mystic Lamp
393,8,Zone Eater
394,8,Steel Scorpion
395,8,Dancing Elf
397,8,Leghul
398,8,Ooguchi
399,8,Swordsman from a Foreign Land
402,8,Monster Eye
410,8,Mechanical Spider
411,8,Bat
417,8,Blast Juggler
422,16,Jinzo #7
429,8,Goddess of Whim
430,8,Water Magician
431,8,Ice Water
432,32,Waterdragon Fairy
435,8,Water Girl
444,8,Turu-Purun
445,8,Guardian of the Sea
446,32,Aqua Snake
450,8,Kappa Avenger
451,8,Kanikabuto
452,8,Zarigun
455,8,Barrel Rock
457,16,Stone Ghost
461,32,Bolt Penguin
463,32,Electric Snake
474,8,Sea Kamen
477,8,Alinsection
478,16,Insect Soldiers of the Sky
479,8,Cockroach Knight
481,8,Burglar
484,8,Ameba
489,8,Barrel Lily
503,16,Turtle Raccoon
505,32,Prisman
516,8,Muka Muka
524,8,Star Boy
530,8,Eldeen
534,8,Minar
537,16,Mega Thunderball
538,8,Niwatori
539,32,Corroding Shark
548,8,Bone Mouse
549,8,Frog The Jam
550,8,Behegon
556,8,The Wandering Doomed
558,8,Pot the Trick
559,8,Oscillo Hero
568,8,Anthrosaurus
569,8,Drooling Lizard
573,16,Little D
580,8,Patrol Robo
583,8,Weather Report
585,16,Mechanical Snail
588,8,Living Vase
590,8,Beaked Snake
591,16,Morphing Jar
592,8,Muse-A
599,8,Violent Rain
602,8,Penguin Soldier
605,32,Liquid Beast
606,8,Twin Long Rods #2
610,32,Electric Lizard
612,16,Lady of Faith
615,8,Armored Starfish
634,8,Night Lizard
640,8,Acid Crawler
646,16,Gruesome Goo
647,8,Hyosube
652,8,Magical Labyrinth
