3,20,Hitotsu-me Giant
5,20,Ryu-kishin
8,10,Mushroom Man
9,40,Shadow Specter
16,40,Time Wizard
23,20,The Wicked Worm Beast
26,20,Battle Ox
27,60,Beaver Warrior
34,40,Saggi the Dark Clown
38,20,Gaia the Fierce Knight
40,10,Dragon Piper
58,19,Kuriboh
75,20,Man-eating Plant
76,10,Krokodilus
77,20,Grappler
91,40,Mystic Horseman
101,10,Wings of Wicked Flame
105,40,Tomozaurus
123,60,Dark Plant
130,30,Weather Control
133,10,Charubin the Fire Knight
137,30,Mystery Hand
157,10,Firegrass
158,10,Man Eater
167,32,Ancient Jar
176,10,Fire Eye
180,10,Arlownay
192,40,Key Mace
197,40,Mech Mole Zombie
202,32,Air Marmot of Nefariousness
210,20,Hinotama Soul
237,32,Haniwa
238,10,Yashinoki
273,10,Ancient Tree of Enlightenment
274,10,Green Phantom King
289,40,Change Slime
291,10,Fireyarou
330,10,Forest
331,10,Wasteland
332,10,Mountain
333,10,Sogen
334,10,Umi
335,10,Yami
336,20,Dark Hole
341,10,Soul of the Pure
346,10,Ookazi
348,10,Swords of Revealing Light
349,10,Spellbinding Circle
377,40,Ryu-kishin Powered
379,40,La Jinn the Mystical Genie
387,40,Mystic Lamp
397,32,Leghul
402,32,Monster Eye
410,40,Mechanical Spider
411,32,Bat
422,40,Jinzo #7
428,20,Magician of Faith
436,20,White Dolphin
444,20,Turu-Purun
469,20,Armed Ninja
484,20,Ameba
485,32,Korogashi
488,60,Rainbow Flower
489,10,Barrel Lily
504,40,Fungi of the Musk
510,10,Laughing Flower
511,40,Bean Soldier
516,40,Muka Muka
541,32,Hane-Hane
547,60,Griggle
548,40,Bone Mouse
558,60,Pot the Trick
563,32,Wretched Ghost of the Attic
567,10,Darkworld Thorns
579,20,Abyss Flower
588,10,Living Vase
589,19,Tentacle Plant
620,10,Snakeyashi
635,32,Queen's Double
644,60,Flame Viper
670,10,Black Luster Ritual
