2,32,Mystical Elf
17,3,Right Leg of the Forbidden One
18,3,Left Leg of the Forbidden One
19,3,Right Arm of the Forbidden One
20,3,Left Arm of the Forbidden One
21,4,Exodia the Forbidden
30,8,Zombie Warrior
34,32,Saggi the Dark Clown
35,16,Dark Magician
36,16,The Snake Hair
37,16,Gaia the Dragon Champion
38,32,Gaia the Fierce Knight
42,16,Illusionist Faceless Mage
44,16,Rogue Doll
57,32,Great Moth
67,8,Perfectly Ultimate Great Moth
69,16,Thousand Dragon
74,32,Giant Soldier of Stone
79,16,Megazowler
90,16,Gyakutenno Megami
96,32,Armored Zombie
97,64,Dragon Zombie
98,16,Clown Zombie
99,64,Pumpking the King of Ghosts
106,16,Spirit of the Winds
115,16,Kamion Wizard
132,16,The 13th Grave
154,16,Fire Reaper
213,32,Aqua Madoor
217,8,B. Skull Dragon
215,16,Flame Ghost
220,16,Masked Sorcerer
223,32,Roaring Ocean Snake
228,16,Wood Remains
263,16,Rock Ogre Grotto #2
356,32,Super War-lion
358,16,Seiyaryu
360,8,Zera The Mant
366,32,Labyrinth Wall
368,32,Shadow Ghoul
369,16,Wall Shadow
370,16,Labyrinth Tank
371,16,Sanga of the Thunder
372,16,Kazejin
373,16,Suijin
385,16,Bickuribox
386,16,Harpie's Pet Dragon
390,16,Launcher Spider
391,16,Zoa
401,64,Ushi Oni
407,8,Machine King
426,32,Stone D.
427,16,Kaiser Dragon
442,16,Aqua Dragon
453,16,Millennium Golem
455,16,Barrel Rock
465,32,Punished Eagle
467,32,Crimson Sunbird
470,32,Magical Ghost
471,8,Soul Hunter
500,8,Dragon Seeker
509,32,Bracchio-raidus
518,16,Boulder Tortoise
522,16,Monstrous Bird
525,16,Spirit of the Mountain
529,32,Flame Cerebrus
531,32,Mystical Sand
532,32,Gemini Elf
564,32,Great Mammoth of Goldfine
571,32,B. Dragon Jungle King
572,32,Empress Judge
593,16,Giant Turtle Who Feeds on Flames
594,32,Rose Spectre of Dunn
599,16,Violent Rain
613,8,Twin-headed Thunder Dragon
623,16,The Thing That Hides in the Mud
627,64,Nekogal #2
631,16,Maiden of the Moonlight
632,16,Stone Ogre Grotto
634,16,Night Lizard
645,16,Royal Guard
646,16,Gruesome Goo
703,8,Sengenjin
704,8,Skull Guardian
705,8,Tri-horned Dragon
706,8,Serpent Night Dragon
707,64,Skull Knight
708,8,Cosmo Queen
709,8,Chakra
710,8,Crab Turtle
711,8,Mikazukinoyaiba
712,64,Meteor Dragon
713,16,Meteor B. Dragon
714,64,Firewing Pegasus
715,8,Psycho-Puppet
716,8,Garma Sword
717,8,Javelin Beetle
718,8,Fortress Whale
