8,16,Mushroom Man
32,64,Two-headed King Rex
45,32,Oscillo Hero #2
47,16,Torike
59,32,Mammoth Graveyard
75,16,Man-eating Plant
80,64,Uraby
81,64,Crawling Dragon #2
82,8,Red-eyes B. Dragon
96,16,Armored Zombie
97,16,Dragon Zombie
98,16,Clown Zombie
101,16,Wings of Wicked Flame
102,16,Mask of Darkness
104,16,Curtain of the Dark Ones
105,32,Tomozaurus
107,16,Kageningen
108,16,Graveyard and the Hand of Invitation
113,16,Dark Gray
114,16,White Magical Hat
116,16,Nightmare Scorpion
122,32,Yamatano Dragon Scroll
129,16,Nemuriko
130,8,Weather Control
135,32,Fiend's Hand
137,16,Mystery Hand
139,16,Blue-eyed Silver Zombie
143,8,Necrolancer the Timelord
147,16,Monster Egg
154,32,Fire Reaper
155,16,Larvas
156,16,Hard Armor
157,16,Firegrass
158,16,Man Eater
159,32,Dig Beak
174,16,Hurricail
175,16,Ancient Brain
176,16,Fire Eye
177,16,Monsturtle
178,16,Claw Reacher
179,16,Phantom Dewan
182,16,Masked Clown
183,16,Lucky Trinket
185,16,Eyearmor
191,32,LaLa Li-oon
195,16,Doron
198,16,Happy Lover
200,32,Petit Dragon
202,16,Air Marmot of Nefariousness
203,16,Phantom Ghost
207,16,Droll Bird
209,16,Winged Cleaver
210,16,Hinotama Soul
211,32,Kaminarikozou
212,16,Meotoko
214,16,Kagemusha of the Blue Flame
215,16,Flame Ghost
218,32,Two-mouth Darkruler
227,16,Hitodenchak
229,16,Hourglass of Life
232,16,Madjinn Gunn
237,16,Haniwa
238,16,Yashinoki
242,16,Candle of Fate
245,16,Meda Bat
253,16,Angelwitch
254,16,Embryonic Beast
261,16,Wicked Mirror
266,16,Princess of Tsurugi
268,16,Sectarian of Secrets
285,16,Serpent Marauder
292,16,Psychic Kappa
298,32,Wicked Dragon with the Ersatz Head
300,16,Kurama
326,12,Raise Body Heat
331,12,Wasteland
332,8,Mountain
417,16,Blast Juggler
420,16,Cyber-Stein
452,16,Zarigun
463,32,Electric Snake
476,16,Ganigumo
486,16,Boo Koo
492,16,Hoshiningen
501,16,Man-eater Bug
503,16,Turtle Raccoon
506,16,Gale Dogra
510,16,Laughing Flower
524,16,Star Boy
536,16,Mechaleon
537,16,Mega Thunderball
540,16,Skelengel
544,16,Dharma Cannon
549,16,Frog The Jam
556,16,The Wandering Doomed
562,16,Needle Worm
568,32,Anthrosaurus
570,16,Trakadon
573,32,Little D
579,16,Abyss Flower
589,16,Tentacle Plant
591,16,Morphing Jar
598,16,Little Chimera
604,16,Obese Marmot of Nefariousness
605,16,Liquid Beast
606,16,Twin Long Rods #2
706,8,Serpent Night Dragon
